outcome,draw,exposure,sex_of_child,age_group_id,location,value
neonatal_sepsis,draw_0,40.0,Female,2,ethiopia,0.1646856331145921
neonatal_sepsis,draw_0,40.0,Male,2,ethiopia,0.15437206504378984
neonatal_sepsis,draw_0,40.0,Female,3,ethiopia,0.1724922742716517
neonatal_sepsis,draw_0,40.0,Male,3,ethiopia,0.16783913815113086
neonatal_sepsis,draw_0,40.11011,Female,2,ethiopia,0.1649403496754515
neonatal_sepsis,draw_0,40.11011,Male,2,ethiopia,0.1546189651861994
neonatal_sepsis,draw_0,40.11011,Female,3,ethiopia,0.1727189768612827
neonatal_sepsis,draw_0,40.11011,Male,3,ethiopia,0.16806858444453618
neonatal_sepsis,draw_0,40.22022,Female,2,ethiopia,0.16519557075967106
neonatal_sepsis,draw_0,40.22022,Male,2,ethiopia,0.15486635600609291
neonatal_sepsis,draw_0,40.22022,Female,3,ethiopia,0.17294623325200786
neonatal_sepsis,draw_0,40.22022,Male,3,ethiopia,0.16829856899715379
neonatal_sepsis,draw_0,40.33033,Female,2,ethiopia,0.1654514578875324
neonatal_sepsis,draw_0,40.33033,Male,2,ethiopia,0.1551143347479356
neonatal_sepsis,draw_0,40.33033,Female,3,ethiopia,0.1731741197626143
neonatal_sepsis,draw_0,40.33033,Male,3,ethiopia,0.1685291213431624
neonatal_sepsis,draw_0,40.44044,Female,2,ethiopia,0.1657079108955483
neonatal_sepsis,draw_0,40.44044,Male,2,ethiopia,0.15536294526948372
neonatal_sepsis,draw_0,40.44044,Female,3,ethiopia,0.17340256804887602
neonatal_sepsis,draw_0,40.44044,Male,3,ethiopia,0.1687602694595015
neonatal_sepsis,draw_0,40.55055,Female,2,ethiopia,0.16596495325673616
neonatal_sepsis,draw_0,40.55055,Male,2,ethiopia,0.15561217975149846
neonatal_sepsis,draw_0,40.55055,Female,3,ethiopia,0.17363161024618215
neonatal_sepsis,draw_0,40.55055,Male,3,ethiopia,0.1689920202674612
neonatal_sepsis,draw_0,40.66066,Female,2,ethiopia,0.1662225792720577
neonatal_sepsis,draw_0,40.66066,Male,2,ethiopia,0.1558620235377198
