location,draw,sex,age_start,age_end,parameter,value
ethiopia,draw_28,Female,0.0,0.01917808,40.0,0.7170064367804828
ethiopia,draw_28,Male,0.0,0.01917808,40.0,0.6404064581766836
nigeria,draw_28,Female,0.0,0.01917808,40.0,0.638102621338993
nigeria,draw_28,Male,0.0,0.01917808,40.0,0.6205948686949432
pakistan,draw_28,Female,0.0,0.01917808,40.0,0.34256200838708584
pakistan,draw_28,Male,0.0,0.01917808,40.0,0.3988732031640407
ethiopia,draw_28,Female,0.0,0.01917808,40.11011,0.7180527379962642
ethiopia,draw_28,Male,0.0,0.01917808,40.11011,0.6414404415874293
nigeria,draw_28,Female,0.0,0.01917808,40.11011,0.6391906238259175
nigeria,draw_28,Male,0.0,0.01917808,40.11011,0.6216615318475784
pakistan,draw_28,Female,0.0,0.01917808,40.11011,0.34354432550754815
pakistan,draw_28,Male,0.0,0.01917808,40.11011,0.3998760592237893
ethiopia,draw_28,Female,0.0,0.01917808,40.22022,0.7190989637879052
ethiopia,draw_28,Male,0.0,0.01917808,40.22022,0.6424748404960383
nigeria,draw_28,Female,0.0,0.01917808,40.22022,0.6402790246270602
nigeria,draw_28,Male,0.0,0.01917808,40.22022,0.6227289458127067
pakistan,draw_28,Female,0.0,0.01917808,40.22022,0.34452952360457717
pakistan,draw_28,Male,0.0,0.01917808,40.22022,0.4008809019179207
ethiopia,draw_28,Female,0.0,0.01917808,40.33033,0.7201450705635571
ethiopia,draw_28,Male,0.0,0.01917808,40.33033,0.6435100490178537
nigeria,draw_28,Female,0.0,0.01917808,40.33033,0.6413679602055525
nigeria,draw_28,Male,0.0,0.01917808,40.33033,0.6237969111017516
pakistan,draw_28,Female,0.0,0.01917808,40.33033,0.34551763492877435
pakistan,draw_28,Male,0.0,0.01917808,40.33033,0.4018878520006209
ethiopia,draw_28,Female,0.0,0.01917808,40.44044,0.7211914550670295
ethiopia,draw_28,Male,0.0,0.01917808,40.44044,0.6445456195334742
nigeria,draw_28,Female,0.0,0.01917808,40.44044,0.6424572078900534
nigeria,draw_28,Male,0.0,0.01917808,40.44044,0.6248654951344146
pakistan,draw_28,Female,0.0,0.01917808,40.44044,0.34650849428746855
pakistan,draw_28,Male,0.0,0.01917808,40.44044,0.40289672041800295
ethiopia,draw_28,Female,0.0,0.01917808,40.55055,0.7222377217922069
ethiopia,draw_28,Male,0.0,0.01917808,40.55055,0.6455816068761767
nigeria,draw_28,Female,0.0,0.01917808,40.55055,0.6435471447258039
nigeria,draw_28,Male,0.0,0.01917808,40.55055,0.6259346388181914
pakistan,draw_28,Female,0.0,0.01917808,40.55055,0.34750216028233616
pakistan,draw_28,Male,0.0,0.01917808,40.55055,0.4039074946095346
ethiopia,draw_28,Female,0.0,0.01917808,40.66066,0.7232843895906581
ethiopia,draw_28,Male,0.0,0.01917808,40.66066,0.6466178582725826
nigeria,draw_28,Female,0.0,0.01917808,40.66066,0.6446374131834001
nigeria,draw_28,Male,0.0,0.01917808,40.66066,0.6270042609865373
pakistan,draw_28,Female,0.0,0.01917808,40.66066,0.34849850366349916
pakistan,draw_28,Male,0.0,0.01917808,40.66066,0.4049202368201258
ethiopia,draw_28,Female,0.0,0.01917808,40.77077,0.7243306915870155
ethiopia,draw_28,Male,0.0,0.01917808,40.77077,0.6476545154878589
nigeria,draw_28,Female,0.0,0.01917808,40.77077,0.6457276584687962
nigeria,draw_28,Male,0.0,0.01917808,40.77077,0.6280744215945708
pakistan,draw_28,Female,0.0,0.01917808,40.77077,0.3494977496346688
pakistan,draw_28,Male,0.0,0.01917808,40.77077,0.4059349114580924
