outcome,draw,exposure,sex_of_child,age_group_id,location,value
neonatal_sepsis,draw_94,40.0,Female,2,ethiopia,1.313645709599334
neonatal_sepsis,draw_94,40.0,Male,2,ethiopia,1.1656890803730346
neonatal_sepsis,draw_94,40.0,Female,3,ethiopia,1.4564480261657684
neonatal_sepsis,draw_94,40.0,Male,3,ethiopia,1.4309095142744463
neonatal_sepsis,draw_94,40.11011,Female,2,ethiopia,1.3153392087838036
neonatal_sepsis,draw_94,40.11011,Male,2,ethiopia,1.1675170926393794
neonatal_sepsis,draw_94,40.11011,Female,3,ethiopia,1.4576659688772613
neonatal_sepsis,draw_94,40.11011,Male,3,ethiopia,1.4323132284150495
neonatal_sepsis,draw_94,40.22022,Female,2,ethiopia,1.31703128334439
neonatal_sepsis,draw_94,40.22022,Male,2,ethiopia,1.1693448386676257
neonatal_sepsis,draw_94,40.22022,Female,3,ethiopia,1.4588818994402928
neonatal_sepsis,draw_94,40.22022,Male,3,ethiopia,1.433715052078516
neonatal_sepsis,draw_94,40.33033,Female,2,ethiopia,1.3187217459598264
neonatal_sepsis,draw_94,40.33033,Male,2,ethiopia,1.1711723086815409
neonatal_sepsis,draw_94,40.33033,Female,3,ethiopia,1.4600957664520797
neonatal_sepsis,draw_94,40.33033,Male,3,ethiopia,1.435114949352989
neonatal_sepsis,draw_94,40.44044,Female,2,ethiopia,1.3204104896129512
neonatal_sepsis,draw_94,40.44044,Male,2,ethiopia,1.172999128780284
neonatal_sepsis,draw_94,40.44044,Female,3,ethiopia,1.4613074657823573
neonatal_sepsis,draw_94,40.44044,Male,3,ethiopia,1.4365127009826886
neonatal_sepsis,draw_94,40.55055,Female,2,ethiopia,1.3220972701119251
neonatal_sepsis,draw_94,40.55055,Male,2,ethiopia,1.174825482232836
neonatal_sepsis,draw_94,40.55055,Female,3,ethiopia,1.4625167851373728
neonatal_sepsis,draw_94,40.55055,Male,3,ethiopia,1.437908347033158
neonatal_sepsis,draw_94,40.66066,Female,2,ethiopia,1.3237815174124277
neonatal_sepsis,draw_94,40.66066,Male,2,ethiopia,1.1766510624202016
neonatal_sepsis,draw_94,40.66066,Female,3,ethiopia,1.4637234593159865
neonatal_sepsis,draw_94,40.66066,Male,3,ethiopia,1.439301673330755
neonatal_sepsis,draw_94,40.77077,Female,2,ethiopia,1.3254630945109194
neonatal_sepsis,draw_94,40.77077,Male,2,ethiopia,1.1784759555163253
neonatal_sepsis,draw_94,40.77077,Female,3,ethiopia,1.464927370407236
neonatal_sepsis,draw_94,40.77077,Male,3,ethiopia,1.4406926156246616
neonatal_sepsis,draw_94,40.88088,Female,2,ethiopia,1.3271425513505646
neonatal_sepsis,draw_94,40.88088,Male,2,ethiopia,1.1803000612620602
neonatal_sepsis,draw_94,40.88088,Female,3,ethiopia,1.466128713515952
neonatal_sepsis,draw_94,40.88088,Male,3,ethiopia,1.442081273609613
neonatal_sepsis,draw_94,40.99099,Female,2,ethiopia,1.3288195165906675
neonatal_sepsis,draw_94,40.99099,Male,2,ethiopia,1.182123060640537
neonatal_sepsis,draw_94,40.99099,Female,3,ethiopia,1.4673273985899031
neonatal_sepsis,draw_94,40.99099,Male,3,ethiopia,1.4434674325586336
neonatal_sepsis,draw_94,41.1011,Female,2,ethiopia,1.3304940005032482
neonatal_sepsis,draw_94,41.1011,Male,2,ethiopia,1.1839458452998317
neonatal_sepsis,draw_94,41.1011,Female,3,ethiopia,1.468523369961679
neonatal_sepsis,draw_94,41.1011,Male,3,ethiopia,1.444851470632113
