sex_of_child,value,age_group_id,exposure,location,draw
Female,2.170849416901984,2,40.0,ethiopia,draw_109
Male,2.6485850105433237,2,40.0,ethiopia,draw_109
Female,2.010301651494781,3,40.0,ethiopia,draw_109
Male,2.147049076389491,3,40.0,ethiopia,draw_109
Female,2.1673014017861707,2,40.11011,ethiopia,draw_109
Male,2.643363256064287,2,40.11011,ethiopia,draw_109
Female,2.0078391701975713,3,40.11011,ethiopia,draw_109
Male,2.1439295286059963,3,40.11011,ethiopia,draw_109
Female,2.163762588765224,2,40.22022,ethiopia,draw_109
Male,2.6381548285867753,2,40.22022,ethiopia,draw_109
Female,2.005380887547556,3,40.22022,ethiopia,draw_109
Male,2.14081647539907,3,40.22022,ethiopia,draw_109
Female,2.1602344789543957,2,40.33033,ethiopia,draw_109
Male,2.6329601226109434,2,40.33033,ethiopia,draw_109
Female,2.002927852104554,3,40.33033,ethiopia,draw_109
Male,2.1377100084244094,3,40.33033,ethiopia,draw_109
Female,2.156714218787805,2,40.44044,ethiopia,draw_109
Male,2.62777836401758,2,40.44044,ethiopia,draw_109
Female,2.0004785398589733,3,40.44044,ethiopia,draw_109
Male,2.1346097495018785,3,40.44044,ethiopia,draw_109
Female,2.1532047298663954,2,40.55055,ethiopia,draw_109
Male,2.62261000854452,2,40.55055,ethiopia,draw_109
Female,1.9980344618419765,3,40.55055,ethiopia,draw_109
Male,2.131515968966586,3,40.55055,ethiopia,draw_109
Female,2.1495069576236387,2,40.66066,ethiopia,draw_109
Male,2.6174553015670465,2,40.66066,ethiopia,draw_109
Female,1.9954559586753768,3,40.66066,ethiopia,draw_109
Male,2.1284287132548236,3,40.66066,ethiopia,draw_109
Female,2.1452059984580525,2,40.77077,ethiopia,draw_109
Male,2.612314023517622,2,40.77077,ethiopia,draw_109
Female,1.9924502239759503,3,40.77077,ethiopia,draw_109
Male,2.1253478483671664,3,40.77077,ethiopia,draw_109
Female,2.140918541123028,2,40.88088,ethiopia,draw_109
Male,2.6071873114638047,2,40.88088,ethiopia,draw_109
Female,1.9894512460030673,3,40.88088,ethiopia,draw_109
Male,2.1222742501819245,3,40.88088,ethiopia,draw_109
Female,2.136643957139897,2,40.99099,ethiopia,draw_109
Male,2.602072662968523,2,40.99099,ethiopia,draw_109
Female,1.9864585396552201,3,40.99099,ethiopia,draw_109
Male,2.1192064528658463,3,40.99099,ethiopia,draw_109
