location,sex,draw,exposure,value,outcome
ethiopia,Female,draw_278,40.0,144.11629470203002,birth_weight
ethiopia,Female,draw_278,40.11011,144.10661278063105,birth_weight
ethiopia,Female,draw_278,40.22022,144.09692704913027,birth_weight
ethiopia,Female,draw_278,40.33033,144.08725229273904,birth_weight
ethiopia,Female,draw_278,40.44044,144.07758126559042,birth_weight
ethiopia,Female,draw_278,40.55055,144.0678982456473,birth_weight
ethiopia,Female,draw_278,40.66066,144.05821181056524,birth_weight
ethiopia,Female,draw_278,40.77077,144.04851849764736,birth_weight
ethiopia,Female,draw_278,40.88088,144.03882825746865,birth_weight
ethiopia,Female,draw_278,40.99099,144.02914096785145,birth_weight
ethiopia,Female,draw_278,41.1011,144.01945081825215,birth_weight
ethiopia,Female,draw_278,41.21121,144.00977513696915,birth_weight
ethiopia,Female,draw_278,41.32132,144.00007308539955,birth_weight
ethiopia,Female,draw_278,41.43143,143.99037400544677,birth_weight
ethiopia,Female,draw_278,41.54154,143.9806858603219,birth_weight
ethiopia,Female,draw_278,41.65165,143.97098225728666,birth_weight
ethiopia,Female,draw_278,41.76176,143.9612848321591,birth_weight
ethiopia,Female,draw_278,41.87187,143.95158598010784,birth_weight
ethiopia,Female,draw_278,41.98198,143.9418864616643,birth_weight
ethiopia,Female,draw_278,42.09209,143.9321856467741,birth_weight
ethiopia,Female,draw_278,42.2022,143.92248490266786,birth_weight
ethiopia,Female,draw_278,42.31231,143.9127766227577,birth_weight
ethiopia,Female,draw_278,42.42242,143.90306724780942,birth_weight
ethiopia,Female,draw_278,42.53253,143.89336387738314,birth_weight
ethiopia,Female,draw_278,42.64264,143.88366543879937,birth_weight
ethiopia,Female,draw_278,42.75275,143.87395935020965,birth_weight
ethiopia,Female,draw_278,42.86286,143.86425471748515,birth_weight
ethiopia,Female,draw_278,42.97297,143.85454301342656,birth_weight
ethiopia,Female,draw_278,43.08308,143.84482850313378,birth_weight
ethiopia,Female,draw_278,43.19319,143.83511613244724,birth_weight
ethiopia,Female,draw_278,43.3033,143.82541229467301,birth_weight
ethiopia,Female,draw_278,43.41341,143.81569979211685,birth_weight
ethiopia,Female,draw_278,43.52352,143.80598568075345,birth_weight
ethiopia,Female,draw_278,43.63363,143.7962646350424,birth_weight
ethiopia,Female,draw_278,43.74374,143.78654795873734,birth_weight
ethiopia,Female,draw_278,43.85385,143.77684178562419,birth_weight
ethiopia,Female,draw_278,43.96396,143.76713158313493,birth_weight
ethiopia,Female,draw_278,44.07407,143.75741918345807,birth_weight
ethiopia,Female,draw_278,44.18418,143.7477043678138,birth_weight
ethiopia,Female,draw_278,44.29429,143.73798031317097,birth_weight
ethiopia,Female,draw_278,44.4044,143.72826205805353,birth_weight
ethiopia,Female,draw_278,44.51451,143.7185391221198,birth_weight
ethiopia,Female,draw_278,44.62462,143.70889288704223,birth_weight
ethiopia,Female,draw_278,44.73473,143.6991854360159,birth_weight
ethiopia,Female,draw_278,44.84484,143.68946384556955,birth_weight
ethiopia,Female,draw_278,44.95495,143.67975069185002,birth_weight
ethiopia,Female,draw_278,45.06507,143.6699541114176,birth_weight
ethiopia,Female,draw_278,45.17518,143.66022912196365,birth_weight
ethiopia,Female,draw_278,45.28529,143.6505057555035,birth_weight
ethiopia,Female,draw_278,45.3954,143.64079367021807,birth_weight
ethiopia,Female,draw_278,45.50551,143.63108412240328,birth_weight
ethiopia,Female,draw_278,45.61562,143.62136674536063,birth_weight
