location,sex,draw,exposure,value,outcome
ethiopia,Male,draw_146,40.0,-0.7263311912101369,gestational_age
ethiopia,Male,draw_146,40.11011,-0.725171730128579,gestational_age
ethiopia,Male,draw_146,40.22022,-0.7240121506065512,gestational_age
ethiopia,Male,draw_146,40.33033,-0.7228541909816253,gestational_age
ethiopia,Male,draw_146,40.44044,-0.7216955383876674,gestational_age
ethiopia,Male,draw_146,40.55055,-0.7205363479814108,gestational_age
ethiopia,Male,draw_146,40.66066,-0.7193787814342697,gestational_age
ethiopia,Male,draw_146,40.77077,-0.7182167448854908,gestational_age
ethiopia,Male,draw_146,40.88088,-0.7170587711939038,gestational_age
ethiopia,Male,draw_146,40.99099,-0.715902690777574,gestational_age
ethiopia,Male,draw_146,41.1011,-0.7147459954580515,gestational_age
ethiopia,Male,draw_146,41.21121,-0.71358781440164,gestational_age
ethiopia,Male,draw_146,41.32132,-0.7124303783557786,gestational_age
ethiopia,Male,draw_146,41.43143,-0.7112736738181529,gestational_age
ethiopia,Male,draw_146,41.54154,-0.7101200767818717,gestational_age
ethiopia,Male,draw_146,41.65165,-0.7089643931089807,gestational_age
ethiopia,Male,draw_146,41.76176,-0.7078071997364238,gestational_age
ethiopia,Male,draw_146,41.87187,-0.7066511466921113,gestational_age
ethiopia,Male,draw_146,41.98198,-0.7054976502442684,gestational_age
ethiopia,Male,draw_146,42.09209,-0.7043412767391871,gestational_age
ethiopia,Male,draw_146,42.2022,-0.7031868018807816,gestational_age
ethiopia,Male,draw_146,42.31231,-0.7020334340517896,gestational_age
ethiopia,Male,draw_146,42.42242,-0.7008807394263957,gestational_age
ethiopia,Male,draw_146,42.53253,-0.6997276768776831,gestational_age
ethiopia,Male,draw_146,42.64264,-0.6985741509734507,gestational_age
ethiopia,Male,draw_146,42.75275,-0.6974214238220652,gestational_age
ethiopia,Male,draw_146,42.86286,-0.6962679536174096,gestational_age
ethiopia,Male,draw_146,42.97297,-0.6951152453091176,gestational_age
ethiopia,Male,draw_146,43.08308,-0.6939641394310849,gestational_age
ethiopia,Male,draw_146,43.19319,-0.6928145671863087,gestational_age
ethiopia,Male,draw_146,43.3033,-0.691663459229681,gestational_age
ethiopia,Male,draw_146,43.41341,-0.6905111076828574,gestational_age
ethiopia,Male,draw_146,43.52352,-0.6893606974453307,gestational_age
ethiopia,Male,draw_146,43.63363,-0.6882117570485237,gestational_age
ethiopia,Male,draw_146,43.74374,-0.6870583868766096,gestational_age
ethiopia,Male,draw_146,43.85385,-0.6859077705749577,gestational_age
ethiopia,Male,draw_146,43.96396,-0.6847606266203311,gestational_age
ethiopia,Male,draw_146,44.07407,-0.6836109991933448,gestational_age
ethiopia,Male,draw_146,44.18418,-0.6824629232102495,gestational_age
ethiopia,Male,draw_146,44.29429,-0.6813138773536047,gestational_age
ethiopia,Male,draw_146,44.4044,-0.6801648894345155,gestational_age
ethiopia,Male,draw_146,44.51451,-0.6790195119075633,gestational_age
ethiopia,Male,draw_146,44.62462,-0.6778711425963878,gestational_age
ethiopia,Male,draw_146,44.73473,-0.676723061832537,gestational_age
ethiopia,Male,draw_146,44.84484,-0.6755755747492699,gestational_age
ethiopia,Male,draw_146,44.95495,-0.6744296044062837,gestational_age
ethiopia,Male,draw_146,45.06507,-0.6732835591954147,gestational_age
ethiopia,Male,draw_146,45.17518,-0.6721386438021075,gestational_age
ethiopia,Male,draw_146,45.28529,-0.6709907984946434,gestational_age
ethiopia,Male,draw_146,45.3954,-0.6698480031629074,gestational_age
ethiopia,Male,draw_146,45.50551,-0.6687020753257874,gestational_age
ethiopia,Male,draw_146,45.61562,-0.6675563820199812,gestational_age
ethiopia,Male,draw_146,45.72573,-0.6664142849399696,gestational_age
ethiopia,Male,draw_146,45.83584,-0.6652663112226991,gestational_age
ethiopia,Male,draw_146,45.94595,-0.6641240276618287,gestational_age
ethiopia,Male,draw_146,46.05606,-0.6629794841699063,gestational_age
ethiopia,Male,draw_146,46.16617,-0.6618384786560219,gestational_age
ethiopia,Male,draw_146,46.27628,-0.6606943174250585,gestational_age
ethiopia,Male,draw_146,46.38639,-0.6595530526808728,gestational_age
ethiopia,Male,draw_146,46.4965,-0.6584103267400997,gestational_age
ethiopia,Male,draw_146,46.60661,-0.6572687279577131,gestational_age
ethiopia,Male,draw_146,46.71672,-0.6561274849417593,gestational_age
ethiopia,Male,draw_146,46.82683,-0.6549823848790166,gestational_age
ethiopia,Male,draw_146,46.93694,-0.6538416744063097,gestational_age
ethiopia,Male,draw_146,47.04705,-0.6527013632383083,gestational_age
ethiopia,Male,draw_146,47.15716,-0.6515614992048668,gestational_age
ethiopia,Male,draw_146,47.26727,-0.6504220176939906,gestational_age
ethiopia,Male,draw_146,47.37738,-0.6492829099615038,gestational_age
ethiopia,Male,draw_146,47.48749,-0.6481408215569422,gestational_age
ethiopia,Male,draw_146,47.5976,-0.6470024238007558,gestational_age
ethiopia,Male,draw_146,47.70771,-0.6458636684281317,gestational_age
ethiopia,Male,draw_146,47.81782,-0.6447257940995325,gestational_age
ethiopia,Male,draw_146,47.92793,-0.6435883184943787,gestational_age
ethiopia,Male,draw_146,48.03804,-0.6424481695292614,gestational_age
ethiopia,Male,draw_146,48.14815,-0.641310475243133,gestational_age
ethiopia,Male,draw_146,48.25826,-0.6401725432730859,gestational_age
ethiopia,Male,draw_146,48.36837,-0.6390352660554555,gestational_age
ethiopia,Male,draw_146,48.47848,-0.637897676581436,gestational_age
ethiopia,Male,draw_146,48.58859,-0.6367633450468257,gestational_age
ethiopia,Male,draw_146,48.6987,-0.6356290656375188,gestational_age
ethiopia,Male,draw_146,48.80881,-0.6344927782165547,gestational_age
ethiopia,Male,draw_146,48.91892,-0.6333558959540764,gestational_age
ethiopia,Male,draw_146,49.02903,-0.6322222181997206,gestational_age
ethiopia,Male,draw_146,49.13914,-0.6310850059220342,gestational_age
ethiopia,Male,draw_146,49.24925,-0.6299510851176796,gestational_age
ethiopia,Male,draw_146,49.35936,-0.6288178816005575,gestational_age
ethiopia,Male,draw_146,49.46947,-0.6276851286443764,gestational_age
ethiopia,Male,draw_146,49.57958,-0.6265490907983209,gestational_age
