location,age_group,maternal_hemorrhage_rr,maternal_sepsis_and_other_maternal_infections_rr,depressive_disorders_rr,neonatal_sepsis_early_neonatal_female,neonatal_sepsis_early_neonatal_male,neonatal_sepsis_late_neonatal_female,neonatal_sepsis_late_neonatal_male,draw,location_run
ethiopia,10_to_14,0.4174782362474388,0.5135412283469444,0.2352363958894563,,,,,156,ethiopia
ethiopia,15_to_19,0.28351129489282556,0.33144048420130773,0.11463103273765454,,,,,156,ethiopia
ethiopia,20_to_24,0.3244731928038314,0.368302467425666,0.13109364475810215,,,,,156,ethiopia
ethiopia,25_to_29,0.3387735914872318,0.3837405497003201,0.1388838055623479,,,,,156,ethiopia
ethiopia,30_to_34,0.34878317056517144,0.3954618136056818,0.14556657492849367,,,,,156,ethiopia
ethiopia,35_to_39,0.3340049859019918,0.4059661431189176,0.1597066784780364,,,,,156,ethiopia
ethiopia,40_to_44,0.3184471286166902,0.39645320947231555,0.1566018626690644,,,,,156,ethiopia
ethiopia,45_to_49,0.30698743193801425,0.37954341015542803,0.14735210369996815,,,,,156,ethiopia
ethiopia,50_to_54,0.38155776188905843,0.4852487704702965,0.21840886454724748,,,,,156,ethiopia
ethiopia,N/A,,,,0.18233763079251042,0.16862901898077795,0.17388693102474873,0.17104100927507548,156,ethiopia
